0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 
200 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 4 4 4 4 4 4 4 4 37 37 37 37 37 37 37 37 37 37 28 28 28 28 28 28 28 28 28 28 28 28 28 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 30 30 30 30 30 30 30 30 30 30 30 30 30 30 24 24 24 24 24 24 24 19 19 19 19 19 19 19 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 11 11 11 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 48 48 48 48 48 48 48 48 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 16 16 16 16 16 16 16 16 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 47 47 47 1 
199 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 4 4 4 4 4 4 4 4 37 37 37 37 37 37 37 37 37 37 28 28 28 28 28 28 28 28 28 28 28 28 28 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 30 30 30 30 30 30 30 30 30 30 30 30 30 30 24 24 24 24 24 24 24 19 19 19 19 19 19 19 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 11 11 11 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 48 48 48 48 48 48 48 48 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 16 16 16 16 16 16 16 16 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 47 47 47 47 
198 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 4 4 4 4 4 4 4 4 37 37 37 37 37 37 37 37 37 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 30 30 30 30 30 30 30 30 30 30 30 30 24 24 24 24 24 24 24 24 24 19 19 19 19 19 19 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 11 11 11 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 48 48 48 48 48 48 48 48 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 16 16 16 16 16 16 16 16 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 47 47 47 47 
197 2 2 2 26 26 26 26 26 26 26 26 26 26 26 26 26 4 4 4 4 4 4 4 4 4 37 37 37 37 37 37 37 37 37 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 19 19 19 19 19 5 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 11 11 11 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 48 48 48 48 48 48 48 48 48 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 16 16 16 16 16 16 16 16 16 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 47 47 47 47 
196 2 2 2 2 26 26 26 26 26 26 26 26 26 26 26 5 5 4 4 4 4 4 4 4 4 37 37 37 37 37 37 37 37 37 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 19 19 19 19 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 11 11 11 11 6 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 48 48 48 48 48 48 48 48 48 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 16 16 16 16 16 16 16 16 16 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 47 47 47 47 
195 2 2 2 2 2 2 2 26 26 26 26 26 26 26 5 5 5 38 38 38 4 4 4 4 38 37 37 37 37 37 37 37 37 37 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 19 19 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 11 11 11 11 6 6 6 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 48 48 48 48 48 48 48 48 48 48 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 16 16 16 16 16 16 16 16 16 20 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 47 47 47 47 
194 2 2 2 2 2 2 2 2 2 2 26 26 26 5 5 5 5 38 38 38 38 38 38 38 38 38 37 37 37 37 37 37 37 37 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 11 11 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 11 11 11 11 6 6 6 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 48 48 48 48 48 48 48 48 48 48 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 16 16 16 16 16 16 16 16 20 20 20 20 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 47 47 47 47 47 
193 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5 38 38 38 38 38 38 38 38 37 37 37 37 37 37 37 37 37 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 11 11 11 11 11 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 11 11 11 11 6 6 6 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 48 48 48 48 48 48 48 48 48 48 48 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 16 16 16 16 16 16 16 16 20 20 20 20 20 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 47 47 47 47 47 
192 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5 38 38 38 38 38 38 38 38 37 37 37 37 37 37 37 37 37 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 11 11 11 11 11 11 11 11 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 49 11 11 6 6 6 6 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 48 48 48 48 48 48 48 48 48 48 48 27 27 27 27 27 27 27 27 27 27 27 27 27 27 16 16 16 16 16 16 16 16 16 20 20 20 20 20 20 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 47 47 47 47 47 
191 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5 5 38 38 38 38 38 38 37 37 37 37 37 37 37 37 37 37 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 18 18 18 11 11 11 11 11 11 11 11 11 11 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 49 49 49 49 6 6 6 41 41 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 48 48 48 48 48 48 48 48 48 30 30 27 27 27 27 27 27 27 27 27 27 27 27 16 16 16 16 16 16 16 16 16 16 20 20 20 20 20 20 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 47 47 47 47 47 
190 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5 38 38 38 38 37 37 37 37 37 37 37 37 37 37 37 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 18 18 18 18 11 11 11 11 11 11 11 11 11 11 11 5 5 5 14 14 14 14 6 6 6 6 6 6 6 6 49 49 49 49 41 41 41 41 41 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 48 48 48 48 48 48 48 30 30 30 30 27 27 27 27 27 27 27 27 27 27 16 16 16 16 16 16 16 16 16 16 16 20 20 20 20 20 20 20 29 29 29 29 29 29 29 29 29 29 29 29 29 29 47 47 47 47 47 
189 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5 5 5 37 37 37 37 37 37 37 37 37 37 37 37 37 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 18 18 18 18 18 11 11 11 11 11 11 11 11 11 11 11 11 5 14 14 14 14 14 6 6 6 6 6 6 6 6 49 49 49 49 41 41 41 41 41 41 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 48 48 48 48 48 48 48 30 30 30 30 30 27 27 27 27 27 27 27 27 16 16 16 16 16 16 16 16 16 16 16 16 16 20 20 20 20 20 20 20 20 20 20 29 29 29 29 29 29 29 29 29 29 47 47 47 47 47 
188 26 26 26 26 26 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5 5 5 37 37 37 37 37 37 37 37 37 37 37 37 37 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 18 18 18 18 18 18 18 18 18 18 11 11 11 11 11 11 11 11 11 11 11 11 11 14 14 14 14 14 6 6 6 6 6 6 6 6 6 49 49 49 49 41 41 41 41 41 41 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 48 48 48 48 48 48 30 30 30 30 30 30 27 27 27 27 27 27 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 20 20 20 20 20 20 20 20 20 20 20 29 29 29 29 29 29 29 47 47 47 47 47 47 
187 26 26 26 26 26 26 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5 5 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 28 28 28 28 28 28 28 28 28 37 37 37 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 18 18 18 18 18 18 18 18 18 18 18 18 11 11 11 11 11 11 11 11 11 11 11 11 11 11 14 14 14 14 6 6 6 6 6 6 6 6 6 49 49 49 49 49 41 41 41 41 41 41 41 41 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 48 48 48 48 48 48 30 30 30 30 30 30 27 45 45 45 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 20 20 20 20 20 20 20 20 20 20 20 20 20 20 29 29 29 47 47 47 47 47 47 47 
186 26 26 26 26 26 26 26 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5 5 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 28 28 28 28 37 37 37 37 37 37 6 6 6 24 24 24 24 24 24 24 24 24 24 24 24 24 24 18 18 18 18 18 18 18 18 18 18 18 18 18 18 11 11 11 11 11 11 11 11 11 11 11 11 11 11 14 14 14 6 6 6 6 6 6 6 6 6 49 49 49 49 49 49 41 41 41 41 41 41 41 41 41 41 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 41 41 41 41 48 48 48 48 30 30 30 30 30 45 45 45 45 45 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 47 47 47 47 47 47 47 
185 26 26 26 26 26 26 26 26 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5 5 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 6 6 6 6 6 24 24 24 24 24 24 24 24 24 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 11 11 11 11 11 11 11 11 11 11 11 14 14 6 6 6 6 6 6 6 6 6 49 49 49 49 49 49 49 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 35 35 35 35 35 35 35 35 35 41 41 41 41 41 41 41 48 48 30 30 30 30 45 45 45 45 45 45 45 16 16 16 16 16 16 16 16 16 16 16 16 16 16 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 47 47 47 47 47 47 
184 26 26 26 26 26 26 26 26 26 26 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5 5 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 6 6 6 6 6 6 6 24 24 24 24 24 24 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 11 11 11 11 11 11 11 11 11 11 11 11 6 6 6 6 6 6 6 6 6 49 49 49 49 49 49 49 49 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 30 45 45 45 45 45 45 45 45 45 45 16 16 16 16 16 16 16 16 16 16 16 16 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 47 47 47 47 47 
