0.0106383 91.7197 
0.0141844 105.732 
0.0177305 118.471 
0.0283688 127.389 
0.0496454 133.758 
0.0673759 137.580 
0.0886525 140.127 
0.117021 142.675 
0.138298 143.949 
0.159574 143.949 
0.191489 143.949 
0.223404 143.949 
0.248227 141.401 
0.280142 140.127 
0.297872 138.854 
0.319149 137.580 
0.340426 135.032 
0.365248 133.758 
0.411348 131.210 
0.436170 129.936 
0.457447 127.389 
0.482269 127.389 
0.496454 127.389 
0.514184 124.841 
0.531915 126.115 
0.553191 124.841 
0.570922 124.841 
0.602837 122.293 
0.627660 122.293 
0.652482 121.019 
0.677305 121.019 
0.709220 121.019 
0.734043 121.019 
0.758865 121.019 
0.787234 121.019 
0.815603 121.019 
0.843972 121.019 
0.865248 121.019 
0.890071 119.745 
0.914894 121.019 
0.950355 121.019 
0.989362 119.745 
1.02837 119.745 
1.06028 119.745 
1.08511 119.745 
1.11348 119.745 
1.15248 117.197 
1.18085 119.745 
1.19149 118.471 
